scenario,n_features,f1,recall,precision,roc_auc,pr_auc
drop_count_windows,33,0.7892454296987684,0.6763057122028473,0.9474678937853638,0.8805852898866036,0.9211809973786489
drop_flags_misc,38,0.7698050685215213,0.638489705968611,0.9691196296390507,0.8996991653269683,0.9479342868573685
baseline_all_features,43,0.7525070936152342,0.6155638045600422,0.9678150319478295,0.91111872835584,0.9487223998425965
drop_load_loss,37,0.748339673074946,0.6099412607569905,0.9679782975837444,0.8964743932303232,0.9447267108112876
drop_time_jitter,36,0.746995754479384,0.6089022213656664,0.9660980895276334,0.8913226539765401,0.9436449638756601
drop_flow_core,34,0.2445227757956125,0.14299360655600338,0.8432573998122251,0.6437939329316831,0.7752615171926944
